status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,gender,marital_status,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0,6,1,3,1169,4,1,4,1,3,2,4,2,67,1,1,2,1,1,1,1,1
2,48,3,3,5951,0,2,2,0,1,2,2,2,22,1,1,1,1,1,0,1,0
3,12,1,9,2096,0,3,2,1,3,2,3,2,49,1,1,1,3,2,0,1,1
0,42,3,7,7882,0,3,2,1,3,1,4,0,45,1,0,1,1,2,0,1,1
0,24,2,1,4870,0,2,3,1,3,2,4,3,53,1,0,2,1,2,0,1,0
3,36,3,9,9055,4,2,2,1,3,2,4,3,35,1,0,1,3,2,1,1,1
3,24,3,7,2835,3,1,3,1,3,2,4,0,53,1,1,1,1,1,0,1,1
2,36,3,2,6948,0,2,2,1,3,2,2,1,35,1,2,1,0,1,1,1,1
3,12,3,3,3059,1,3,2,1,0,2,4,2,61,1,1,1,3,1,0,1,1
2,30,1,1,5234,0,4,4,1,2,2,2,1,28,1,1,2,0,1,0,1,0
2,12,3,1,1295,0,0,3,0,1,2,1,1,25,1,2,1,1,1,0,1,0
0,48,3,6,4308,0,0,3,0,1,2,4,0,24,1,2,1,1,1,0,1,0
2,12,3,3,1567,0,2,1,0,1,2,1,1,22,1,1,1,1,1,1,1,1
0,24,1,1,1199,0,1,4,1,3,2,4,1,60,1,1,2,3,1,0,1,0
0,15,3,1,1403,0,2,2,0,1,2,4,1,28,1,2,1,1,1,0,1,1
0,24,3,3,1282,2,2,4,0,1,2,2,1,32,1,1,1,3,1,0,1,0
3,24,1,3,2424,4,1,4,1,3,2,4,0,53,1,1,2,1,1,0,1,1
0,30,4,6,8072,4,0,2,1,3,2,3,1,25,0,1,3,1,1,0,1,1
2,24,3,2,12579,0,1,4,0,1,2,2,3,44,1,0,1,0,1,1,1,0
3,24,3,3,3430,3,1,3,1,3,2,2,1,31,1,1,1,1,2,1,1,1
3,9,1,1,2134,0,2,4,1,3,2,4,1,48,1,1,3,1,1,1,1,1
0,6,3,3,2647,3,2,2,1,3,2,3,2,44,1,2,1,1,2,0,1,1
0,10,1,1,2241,0,0,1,1,3,2,3,2,48,1,2,2,3,2,0,0,1
